연도,순위,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
2015,1,삼성,0.302,144,5803,5019,897,1515,259,25,176,2352,850,76,57,581,21,70,930,109,0.469,0.378,0.847,143,0.311,0.239
2015,2,넥센,0.298,144,5811,5069,904,1512,304,20,203,2465,855,61,55,544,18,82,1098,112,0.486,0.372,0.858,141,0.298,0.270
2015,3,두산,0.290,144,5759,4957,807,1436,254,22,140,2154,770,75,60,567,24,99,820,139,0.435,0.370,0.805,143,0.287,0.262
2015,4,NC,0.289,144,5727,4967,844,1437,283,28,161,2259,802,64,53,536,25,106,1023,105,0.455,0.367,0.822,144,0.293,0.280
2015,5,롯데,0.280,144,5680,4972,765,1393,254,19,177,2216,727,80,28,532,22,68,1186,136,0.446,0.356,0.802,144,0.274,0.183
2015,6,KT,0.273,144,5605,4927,670,1344,221,15,129,1982,633,75,37,507,21,58,1112,118,0.402,0.345,0.747,142,0.272,0.267
2015,7,SK,0.272,144,5588,4861,693,1323,214,10,145,1992,656,110,29,490,13,98,1047,113,0.410,0.349,0.759,144,0.280,0.227
2015,8,한화,0.271,144,5716,4852,717,1316,218,19,130,1962,667,139,35,581,33,109,1135,112,0.404,0.360,0.764,144,0.269,0.207
2015,9,LG,0.269,144,5599,4941,653,1331,252,22,114,1969,601,75,41,462,18,80,1076,98,0.399,0.339,0.738,144,0.245,0.218
2015,10,KIA,0.251,144,5454,4777,648,1197,223,22,136,1872,602,79,43,454,16,101,1126,105,0.392,0.326,0.718,144,0.248,0.198
2016,1,두산,0.298,144,5841,5044,935,1504,284,25,183,2387,877,43,68,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261
2016,2,넥센,0.293,144,5702,4990,813,1464,254,39,134,2198,765,34,59,556,17,63,956,121,0.440,0.368,0.808,144,0.306,0.244
2016,3,삼성,0.293,144,5863,5093,852,1492,249,34,142,2235,792,88,55,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221
2016,4,SK,0.291,144,5672,5023,753,1464,234,19,182,2282,715,71,47,429,13,102,1018,104,0.454,0.356,0.810,142,0.276,0.299
2016,5,NC,0.291,144,5833,5007,857,1457,249,19,169,2251,808,70,52,609,18,93,1023,133,0.450,0.375,0.825,143,0.302,0.239
2016,6,LG,0.290,144,5765,5051,786,1464,238,26,118,2108,744,65,54,523,10,72,982,92,0.417,0.361,0.778,143,0.286,0.236
2016,7,한화,0.289,144,5838,5109,826,1478,242,27,142,2200,787,87,41,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.280
2016,8,롯데,0.288,144,5784,5001,777,1439,252,20,127,2112,732,62,41,596,18,83,1061,120,0.422,0.370,0.792,144,0.285,0.251
2016,9,KIA,0.286,144,5696,4999,803,1429,264,28,170,2259,754,66,45,499,12,87,997,109,0.452,0.358,0.810,144,0.288,0.286
2016,10,KT,0.276,144,5620,4963,672,1369,214,11,116,1953,639,65,45,499,7,48,933,130,0.394,0.345,0.739,144,0.278,0.220
2017,1,KIA,0.302,144,5841,5142,906,1554,292,29,170,2414,868,55,56,499,19,89,891,117,0.469,0.370,0.839,144,0.324,0.254
2017,2,두산,0.294,144,5833,5102,849,1499,270,20,178,2343,812,48,47,541,19,95,960,120,0.459,0.369,0.828,144,0.296,0.200
2017,3,NC,0.293,144,5790,5079,786,1489,277,19,149,2251,739,62,48,471,19,130,979,119,0.443,0.365,0.808,144,0.292,0.249
2017,4,넥센,0.290,144,5712,5098,789,1479,267,30,141,2229,748,21,42,468,15,83,1066,129,0.437,0.357,0.794,144,0.290,0.230
2017,5,한화,0.287,144,5665,5030,737,1445,261,16,150,2188,684,85,38,416,15,94,974,112,0.435,0.350,0.785,144,0.290,0.281
2017,6,롯데,0.285,144,5671,4994,743,1425,250,17,151,2162,697,76,32,457,33,112,1018,146,0.433,0.356,0.789,144,0.280,0.229
2017,7,LG,0.281,144,5614,4944,699,1390,216,20,110,1976,663,76,55,438,17,101,1021,123,0.400,0.348,0.748,144,0.295,0.217
2017,8,삼성,0.279,144,5707,5095,757,1419,255,36,145,2181,703,58,55,429,17,70,983,97,0.428,0.340,0.768,144,0.285,0.220
2017,9,KT,0.275,144,5485,4937,655,1360,274,17,119,2025,625,62,45,374,11,66,1017,118,0.410,0.332,0.742,144,0.290,0.239
2017,10,SK,0.271,144,5564,4925,761,1337,222,15,234,2291,733,57,41,427,20,113,1100,97,0.465,0.341,0.806,144,0.273,0.237
2018,1,두산,0.309,144,5870,5176,944,1601,284,30,191,2518,898,43,63,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263
2018,2,KIA,0.295,144,5744,5036,865,1487,258,22,170,2299,823,56,50,503,27,99,905,135,0.457,0.367,0.824,144,0.302,0.207
2018,3,LG,0.293,144,5665,5070,788,1487,299,12,148,2254,740,51,51,418,14,75,1001,125,0.445,0.353,0.798,144,0.307,0.245
2018,4,롯데,0.289,144,5764,5130,821,1484,289,17,203,2416,792,45,37,471,22,81,1157,124,0.471,0.356,0.827,144,0.290,0.250
2018,5,넥센,0.288,144,5780,5141,825,1481,288,19,165,2302,787,32,50,472,25,85,1208,93,0.448,0.355,0.803,144,0.296,0.265
2018,6,삼성,0.288,144,5766,5109,776,1471,241,29,146,2208,732,57,45,468,14,87,1034,115,0.432,0.355,0.787,144,0.282,0.237
2018,7,SK,0.281,144,5682,4992,829,1403,234,13,233,2362,791,54,34,483,6,119,1079,103,0.473,0.356,0.829,144,0.288,0.241
2018,8,한화,0.275,144,5539,4972,729,1369,249,14,151,2099,668,31,28,420,17,88,1098,113,0.422,0.341,0.763,144,0.283,0.231
2018,9,KT,0.275,144,5605,5026,757,1382,264,13,206,2290,721,43,26,464,14,46,1109,103,0.456,0.340,0.796,144,0.273,0.262
2018,10,NC,0.261,144,5488,4895,660,1280,233,18,143,1978,629,35,43,427,15,88,1081,115,0.404,0.329,0.733,143,0.268,0.284
2019,1,키움,0.282,144,5658,4991,780,1405,251,38,112,2068,741,36,48,514,13,69,943,122,0.414,0.354,0.768,144,0.300,0.276
2019,2,NC,0.278,144,5631,4968,674,1383,249,26,128,2068,639,64,60,456,14,83,880,126,0.416,0.345,0.761,144,0.266,0.179
2019,3,두산,0.278,144,5670,4913,736,1364,235,31,84,1913,691,39,83,563,16,72,799,117,0.389,0.355,0.744,144,0.277,0.202
2019,4,KT,0.277,144,5582,4965,650,1375,187,20,103,1911,615,45,45,475,15,52,975,113,0.385,0.344,0.729,144,0.270,0.218
2019,5,LG,0.267,144,5536,4928,641,1316,233,15,94,1861,604,49,48,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222
2019,6,KIA,0.264,144,5505,4874,605,1286,248,19,76,1800,567,31,45,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.190
2019,7,SK,0.262,144,5542,4919,655,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252
2019,8,한화,0.256,144,5482,4882,607,1250,223,16,88,1769,562,44,45,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187
2019,9,삼성,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204
2019,10,롯데,0.250,144,5488,4919,578,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.250,0.193
2020,1,두산,0.293,144,5776,5046,816,1477,263,20,125,2155,778,38,73,551,20,68,796,132,0.427,0.365,0.792,142,0.291,0.246
2020,2,NC,0.291,144,5833,5102,888,1483,258,28,187,2358,845,46,51,529,21,104,997,106,0.462,0.366,0.828,144,0.330,0.286
2020,3,KT,0.284,144,5762,5047,813,1432,238,21,163,2201,767,64,45,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192
2020,4,LG,0.277,144,5681,4999,802,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,144,0.310,0.223
2020,5,롯데,0.276,144,5669,4958,750,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216
2020,6,KIA,0.274,144,5642,4937,724,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258
2020,7,키움,0.269,144,5721,4945,759,1332,254,25,127,2017,713,43,52,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211
2020,8,삼성,0.268,144,5574,4923,699,1317,211,12,129,1939,658,50,53,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.260
2020,9,SK,0.250,144,5502,4839,634,1212,177,17,143,1852,595,49,34,511,18,69,981,112,0.383,0.329,0.712,144,0.254,0.203
2020,10,한화,0.245,144,5483,4862,551,1189,195,12,79,1645,523,45,25,462,9,89,1163,119,0.338,0.320,0.658,144,0.245,0.220
2021,1,롯데,0.278,144,5726,5009,727,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,144,0.286,0.253
2021,2,두산,0.268,144,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.390,0.350,0.740,143,0.284,0.255
2021,3,삼성,0.267,144,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,144,0.269,0.212
2021,4,KT,0.265,144,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,142,0.271,0.227
2021,5,SSG,0.261,144,5736,4899,755,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259
2021,6,NC,0.261,144,5532,4808,702,1254,203,17,170,2001,670,59,43,511,14,111,1093,94,0.416,0.343,0.759,143,0.260,0.224
2021,7,키움,0.259,144,5653,4874,722,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,143,0.277,0.232
2021,8,LG,0.250,144,5533,4750,654,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.710,143,0.252,0.270
2021,9,KIA,0.248,144,5577,4831,568,1198,183,21,66,1621,546,41,37,595,16,73,921,119,0.336,0.337,0.673,143,0.263,0.203
2021,10,한화,0.237,144,5495,4685,599,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195
2022,1,KIA,0.272,144,5703,5000,720,1361,250,19,113,1988,677,61,36,542,21,63,983,111,0.398,0.349,0.747,144,0.273,0.219
2022,2,삼성,0.270,144,5647,5023,663,1358,241,19,103,1946,627,83,41,446,28,54,1029,119,0.387,0.334,0.721,144,0.281,0.273
2022,3,LG,0.269,144,5627,4927,715,1325,208,33,118,1953,674,49,46,501,18,103,924,109,0.396,0.346,0.742,144,0.274,0.236
2022,4,롯데,0.267,144,5534,4948,605,1320,227,16,106,1897,570,73,42,417,19,54,991,127,0.383,0.328,0.711,144,0.259,0.268
2022,5,NC,0.257,144,5585,4899,646,1260,230,15,105,1835,613,50,47,501,24,88,981,112,0.375,0.334,0.709,143,0.265,0.233
2022,6,두산,0.255,144,5510,4891,638,1249,210,12,101,1786,592,53,45,450,16,71,1007,116,0.365,0.324,0.689,144,0.266,0.246
2022,7,SSG,0.254,144,5642,4893,720,1245,242,18,138,1937,682,77,47,530,22,95,1075,96,0.396,0.336,0.732,143,0.272,0.228
2022,8,KT,0.254,144,5547,4864,631,1237,192,19,119,1824,588,70,44,519,21,49,1183,105,0.375,0.330,0.705,144,0.239,0.232
2022,9,키움,0.252,144,5655,4953,621,1250,203,33,94,1801,578,49,34,527,26,92,1032,89,0.364,0.333,0.697,143,0.243,0.182
2022,10,한화,0.245,144,5513,4878,564,1196,217,19,88,1715,520,45,40,497,13,52,1264,92,0.352,0.319,0.671,144,0.237,0.211
2023,1,LG,0.279,144,5687,4881,767,1364,227,27,93,1924,714,94,55,583,16,73,804,89,0.394,0.361,0.755,144,0.298,0.217
2023,2,KIA,0.276,144,5607,4954,726,1365,224,21,101,1934,673,63,44,500,15,46,957,115,0.390,0.345,0.735,144,0.300,0.285
2023,3,NC,0.270,144,5606,4895,679,1321,223,28,98,1894,642,63,55,493,10,100,1005,122,0.387,0.345,0.732,143,0.268,0.147
2023,4,KT,0.265,144,5649,4973,672,1316,235,14,89,1846,621,57,47,524,13,48,1074,96,0.371,0.338,0.709,143,0.276,0.244
2023,5,롯데,0.265,144,5576,4871,653,1289,231,19,69,1765,608,75,57,522,18,51,1000,110,0.362,0.338,0.700,144,0.288,0.263
2023,6,삼성,0.263,144,5581,4912,636,1290,208,23,88,1808,603,77,43,487,15,62,954,114,0.368,0.334,0.702,143,0.267,0.199
2023,7,키움,0.261,144,5729,5062,607,1323,223,30,61,1789,576,51,58,484,21,74,1096,87,0.353,0.331,0.684,144,0.258,0.180
2023,8,SSG,0.260,144,5630,4923,658,1279,229,16,125,1915,611,77,45,507,21,78,943,89,0.389,0.336,0.725,142,0.254,0.206
2023,9,두산,0.255,144,5538,4859,620,1238,210,32,100,1812,565,57,41,505,25,76,975,90,0.373,0.332,0.705,144,0.242,0.214
2023,10,한화,0.241,144,5628,4906,604,1184,211,12,100,1719,568,59,40,535,21,88,1162,103,0.350,0.324,0.674,144,0.240,0.178
2024,1,KIA,0.301,144,5812,5124,858,1542,266,28,163,2353,812,45,53,529,18,59,915,119,0.459,0.369,0.828,144,0.308,0.340
2024,2,롯데,0.285,144,5766,5110,802,1454,285,41,125,2196,757,37,57,494,12,68,1079,100,0.430,0.352,0.782,144,0.290,0.252
2024,3,LG,0.283,144,5725,4919,808,1394,238,29,115,2035,765,46,73,616,18,71,969,98,0.414,0.366,0.780,143,0.284,0.259
2024,4,KT,0.279,144,5808,5072,767,1413,234,16,145,2114,722,62,45,580,18,49,1123,112,0.417,0.355,0.772,144,0.277,0.223
2024,5,두산,0.276,144,5680,4975,789,1375,243,21,150,2110,743,55,59,510,17,81,1077,100,0.424,0.350,0.774,143,0.280,0.255
2024,6,NC,0.274,144,5757,5009,773,1371,226,15,172,2143,737,50,57,513,14,128,1200,100,0.428,0.353,0.781,144,0.270,0.208
2024,7,SSG,0.273,144,5647,5001,756,1367,239,20,152,2102,724,51,48,470,12,77,1095,85,0.420,0.342,0.762,144,0.286,0.161
2024,8,한화,0.270,144,5702,5005,745,1351,224,18,127,1992,698,42,40,530,18,85,1077,109,0.398,0.347,0.745,144,0.295,0.245
2024,9,삼성,0.269,144,5697,4975,770,1336,204,17,185,2129,734,57,47,531,13,87,1150,94,0.428,0.346,0.774,143,0.271,0.226
2024,10,키움,0.264,144,5671,5015,672,1326,222,24,104,1908,641,37,49,492,10,78,1141,96,0.380,0.337,0.717,143,0.279,0.236
